company,location,industry
AAR,"Wood Dale, IL",Aerospace and Defense
Selective Insurance Group,"Branchville, NJ",Insurance: Property and Casualty (Stock)
Gartner,"Stamford, CT",Information Technology Services
E*Trade Financial,"New York, NY",Securities
TikTok,,
Twitter,,
Netflix,,
Alphabet,,
PayPal,,
Uber,,
Adobe,,
Spotify,,
Yandex,,
Yahoo,,
Epic Games,,
Activision,,
Rockstar,,
Airbnb,,
Stripe,,
Zillow,,
GoDaddy,,
Trivago,,
Wish,,
Lyft,,
Etsy,,
Groupon,,
SpaceX,,
Tesla,,
Chevrolet,,
Ford,,
GMC,,
Hyundai,,
KIA,,
Toyota,,
Honda,,
Mazda,,
Polestar,,
Dodge,,
Snapchat,,
Instagram,,
X,,
CNN,,
FOX,,
BBC,,
Facebook,,
YouTube,,
Alibaba,,
Meta,,
Tencent,,
Warner Bros.,,
OpenAI,,
