company,location,industry
TRW Automotive Holdings,"Livonia, MI",Motor Vehicles and Parts
United States Steel,"Pittsburgh, PA",Metals
Penske Automotive Group,"Bloomfield Hills, MI","Automotive Retailing, Services"
AES,"Arlington, VA",Utilities: Gas and Electric
Colgate-Palmolive,"New York, NY",Household and Personal Products
Global Partners,"Waltham, MA",Wholesalers: Diversified
Thermo Fisher Scientific,"Waltham, MA","Scientific,Photographic and Control Equipment"
PG&E Corp.,"San Francisco, CA",Utilities: Gas and Electric
NextEra Energy,"Juno Beach, FL",Utilities: Gas and Electric
American Electric Power,"Columbus, OH",Utilities: Gas and Electric
Baxter International,"Deerfield, IL",Medical Products and Equipment
Centene,"St. Louis, MO",Health Care: Insurance and Managed Care
Starbucks,"Seattle, WA",Food Services
Gap,"San Francisco, CA",Specialty Retailers: Apparel
Bank of New York Mellon Corp.,"New York, NY",Commercial Banks
Micron Technology,"Boise, ID",Semiconductors and Other Electronic Components
Jabil Circuit,"St. Petersburg, FL",Semiconductors and Other Electronic Components
PNC Financial Services Group,"Pittsburgh, PA",Commercial Banks
Kinder Morgan,"Houston, TX",Pipelines
Office Depot,"Boca Raton, FL",Specialty Retailers: Other
Bristol-Myers Squibb,"New York, NY",Pharmaceuticals
NRG Energy,"Princeton, NJ",Energy
Monsanto,"St. Louis, MO",Chemicals
PPG Industries,"Pittsburgh, PA",Chemicals
Genuine Parts,"Atlanta, GA",Wholesalers: Diversified
Omnicom Group,"New York, NY","Advertising, marketing"
Illinois Tool Works,"Glenview, IL",Industrial Machinery
Murphy USA,"El Dorado, AR",Specialty Retailers: Other
Land O'Lakes,"Arden Hills, MN",Food Consumer Products
Western Refining,"El Paso, TX",Petroleum Refining
Western Digital,"Irvine, CA",Computer Peripherals
FirstEnergy,"Akron, OH",Utilities: Gas and Electric
Aramark,"Philadelphia, PA",Diversified Outsourcing Services
DISH Network,"Englewood, CO",Telecommunications
Las Vegas Sands,"Las Vegas, NV","Hotels, Casinos, Resorts"
Kellogg,"Battle Creek, MI",Food Consumer Products
Loews,"New York, NY",Insurance: Property and Casualty (Stock)
CBS,"New York, NY",Entertainment
Ecolab,"St. Paul, MN",Chemicals
Whole Foods Market,"Austin, TX",Food and Drug Stores
Chubb,"Warren, NJ",Insurance: Property and Casualty (Stock)
Health Net,"Woodland Hills, CA",Health Care: Insurance and Managed Care
Waste Management,"Houston, TX",Waste Management
Apache,"Houston, TX","Mining, Crude-Oil Production"
